target,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,inferred
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-3)[Neu5Ac(a2-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-3)Gal(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)[Gal(b1-4)]Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(?1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Neu5Ac(a2-3)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
GlcNAc(b1-6)[Neu5Ac(a2-3)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,1
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)[Fuc(a1-3)]Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Ac(a2-6)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Neu5Gc(a2-3)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Fuc(a1-2)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(a1-3)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,0
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Fuc(a1-3)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,1
